Airland,MIP_obj_value,MIP_execution_time,MIP_memory_use,CP_obj_value,CP_execution_time,CP_memory_use,CP_status,CP_propagations,CP_conflicts
1,700.0,0.09638595581054688,44645,700.0,0.09326410293579102,50830,OPTIMAL,0,0
2,1480.0,0.28229761123657227,54966,1480.0,0.2510058879852295,82569,OPTIMAL,0,0
3,820.0,0.18804574012756348,87318,820.0,0.19595718383789062,145898,OPTIMAL,0,0
4,2520.0,0.7036595344543457,76944,2520.0,0.5792331695556641,145559,OPTIMAL,0,0
5,3100.0,4.878749847412109,76616,3100.0,9.328729391098022,145543,OPTIMAL,0,0
6,24442.0,0.1726388931274414,162858,24442.0,0.2811861038208008,266229,OPTIMAL,0,0
7,1550.0,0.5157876014709473,348646,1550.0,0.8442726135253906,555905,OPTIMAL,0,0
8,1950.0,1.7870242595672607,490882,1950.0,2.054835319519043,911301,OPTIMAL,0,0
